id,text,elite
113,Es fehlt nicht an Geld – Sie setzen die falschen Prioritäten!,0
135,Das finde ich verlogen.,0
216,"Das liegt am Grunddogma dieses Haushalts und Ihrer Umweltpolitik, Frau Ministerin.",0
541,"Das Ergebnis sind eine kaputtgesparte Infrastruktur, unzufriedene Bürger, und inzwischen klagt sogar die Mehrheit der kleinen und mittleren Unternehmen über die negativen Folgen.",0
830,"Kümmern Sie sich deshalb lieber mit uns gemeinsam um die wichtigen Dinge, zum Beispiel die Planbeschleunigung für bedeutende Infrastrukturprojekte, schnellere Bauarbeiten auf Autobahnen, eine präzise und unaufgeregte Förderung des Radverkehrs ohne Sonntagsreden, eine unideologische Förderung des Luftverkehrs, auch von kleinen Flughäfen wie Baden-Baden/Rastatt in meinem Wahlkreis, gezieltere und mehr Fördermaßnahmen für Sicherheitssysteme beim Lkw und eine durchgängige Rheinvertiefung sowie funktionierende und elektrifizierte Ausweichstrecken für die Bahn, um ein Desaster wie die Tunnelhavarie 2017 in Rastatt nicht zu wiederholen.",0
1101,"Wir wollen durch Anreize die Bürger überzeugen, dass es klug sein kann, CO2 einzusparen.",0
1158,"Niemand akzeptiert, dass Menschen, die hier Deutsch lernen und in den Arbeitsmarkt integriert sind, nach Hause geschickt werden, während straffällig Gewordene nicht zurückgeschickt werden.",0
1179,"Ich will damit beginnen, dass sich Ihr Außenminister und Ihre Verteidigungsministerin auf der Weltbühne über einen irrwitzigen Syrien-Einsatz streiten.",1
1260,"Es ist richtig, dass endlich mal die Interessen der Mieterinnen und Mieter wahrgenommen werden, meine Damen und Herren.",0
1281,Wir könnten nämlich die Mittel der sogenannten Aufstockerleistungen – 10 Milliarden Euro – endlich für gute Arbeit und soziale Sicherheit einsetzen.,0
1475,"Die gerade erst veröffentlichte sogenannte Mittelstandsstrategie Herrn Altmaiers verspricht zwar viel, gehalten wird ausweislich dieses Haushaltes aber wohl kaum etwas.",0
1565,"Dann möchte ich darauf hinweisen, dass Sie zwar den Strukturwandel bei der Braunkohle adressieren, dass Sie ihn aber in anderen Bereichen wie der Automobilindustrie vernachlässigen: bei Conti Stellenstreichungen, bei Bosch Umstrukturierungen.",0
1663,"Machen Sie endlich Schluss mit dieser desaströsen Haushaltspolitik, und beenden Sie endlich alle Subventionen für Kohle, Öl und Erdgas!",0
2020,"Die Situation der Wirtschaft spielt keine Rolle, und es gibt ein Klima des Misstrauens und der Bevormundung, das von der Regierung ausgeht.",1
2074,"Wir wollen, dass die Menschen, die sich alleingelassen fühlen, die von ihrer Rente nicht leben können, mitgenommen werden.",0
2308,"Wir brauchen eine plurale Gesellschaft, und wir brauchen eine offene Gesellschaft.",0
